127.0.0.1 - - [19/Feb/2024:19:18:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:18:33 +0530] "GET /IPL/ HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:18:33 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:18:58 +0530] "GET /IPL/teamlogin.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:19:03 +0530] "POST /IPL/team_ligin HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:19:07 +0530] "GET /IPL/view_team_by_name HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:21:30 +0530] "POST /IPL/team_ligin HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:21:32 +0530] "GET /IPL/view_team_by_name HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:23:08 +0530] "GET /IPL/view_team_by_name HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:23:18 +0530] "GET /IPL/view_selected_team?name=csk HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:24:48 +0530] "GET /IPL/view_selected_team?name=kkr HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:25:51 +0530] "POST /IPL/team_ligin HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:25:53 +0530] "GET /IPL/view_team_by_name HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:25:58 +0530] "GET /IPL/view_selected_team?name=csk HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:26:04 +0530] "GET /IPL/view_team_by_name HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:26:05 +0530] "GET /IPL/view_team_by_name HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:26:05 +0530] "GET /IPL/view_team_by_name HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:26:09 +0530] "GET /IPL/view_selected_team?name=kkr HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:27:23 +0530] "POST /IPL/team_ligin HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:29:52 +0530] "GET /IPL/teamlogin.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:29:56 +0530] "POST /IPL/team_ligin HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:30:36 +0530] "POST /IPL/team_ligin HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:30:44 +0530] "GET /IPL/teamlogin.jsp HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:30:48 +0530] "POST /IPL/team_ligin HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:30:52 +0530] "GET /IPL/view_team_by_name HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:30:57 +0530] "GET /IPL/view_selected_team?name=mi HTTP/1.1" 400 877
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:31:50 +0530] "GET /IPL/view_team_by_name HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:31:52 +0530] "GET /IPL/view_team_by_name HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:31:57 +0530] "GET /IPL/view_selected_team?username=mi HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:32:03 +0530] "GET /IPL/view_selected_team?username=csk HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:32:07 +0530] "GET /IPL/view_selected_team?username=kkr HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [19/Feb/2024:19:32:34 +0530] "GET /IPL/ HTTP/1.1" 200 246
